label,text,char_count,word_count,text_clean,char_count_clean,word_count_clean
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",111.0,20.0,go jurong point crazy available bugis great world la buffet cine got amore wat,78,14
ham,Ok lar... Joking wif u oni...,29.0,6.0,ok lar joking wif oni,21,5
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,155.0,28.0,free entry wkly comp win fa cup final tkts st may text fa receive entry question std txt rate apply,99,20
ham,U dun say so early hor... U c already then say...,49.0,11.0,dun say early hor already say,29,6
ham,"Nah I don't think he goes to usf, he lives around here though",61.0,13.0,nah think go usf life around though,35,7
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",148.0,32.0,freemsg hey darling week word back like fun still tb ok xxx std chgs send rcv,77,16
ham,Even my brother is not like to speak with me. They treat me like aids patent.,77.0,16.0,even brother like speak treat like aid patent,45,8
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,160.0,26.0,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press copy friend callertune,109,15
spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,158.0,26.0,winner valued network customer selected receivea prize reward claim call claim code kl valid hour,97,15
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,154.0,29.0,mobile month entitled update latest colour mobile camera free call mobile update co free,88,14
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",109.0,21.0,gon na home soon want talk stuff anymore tonight cried enough today,67,12
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",136.0,26.0,six chance win cash pound txt csh send cost day day tsandcs apply reply hl info,79,16
spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",156.0,26.0,urgent week free membership prize jackpot txt word claim www dbuk net lccltd pobox ldnw rw,90,16
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,196.0,37.0,searching right word thank breather promise wont take help granted fulfil promise wonderful blessing time,105,15
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,35.0,8.0,date sunday,11,2
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",149.0,19.0,xxxmobilemovieclub use credit click wap link next txt message click http wap xxxmobilemovieclub com qjkgighjjgcbl,113,15
ham,Oh k...i'm watching here:),26.0,4.0,oh watching,11,2
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,81.0,19.0,eh remember spell name yes naughty make wet,43,8
ham,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,58.0,13.0,fine way feel way gota,22,5
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",156.0,24.0,england macedonia dont miss goal team news txt ur national team eg england try wale scotland txt poboxox wq,107,19
ham,Is that seriously how you spell his name?,41.0,8.0,seriously spell name,20,3
ham,IÛ÷m going to try for 2 months ha ha only joking,49.0,11.0,going try month ha ha joking,28,6
ham,So Ì_ pay first lar... Then when is da stock comin...,53.0,11.0,pay first lar da stock comin,28,6
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,88.0,20.0,aft finish lunch go str lor ard smth lor finish ur lunch already,64,13
ham,Ffffffffff. Alright no way I can meet up with you sooner?,57.0,11.0,ffffffffff alright way meet sooner,34,5
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,144.0,28.0,forced eat slice really hungry tho suck mark getting worried know sick turn pizza lol,85,15
ham,Lol your always so convincing.,30.0,5.0,lol always convincing,21,3
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,134.0,32.0,catch bus frying egg make tea eating mom left dinner feel love,62,12
ham,I'm back &amp,13.0,3.0,back amp,8,2
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,64.0,12.0,ahhh work vaguely remember feel like lol,40,7
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",130.0,26.0,wait still clear sure sarcastic want live u,43,8
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,189.0,41.0,yeah got apologetic fallen actin like spoilt child got caught till go badly cheer,81,14
ham,K tell me anything about you.,29.0,6.0,tell anything,13,2
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,84.0,17.0,fear fainting housework quick cuppa,35,5
spam,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,159.0,29.0,thanks subscription ringtone uk mobile charged month please confirm replying yes reply charged,94,13
ham,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,123.0,28.0,yup ok go home look timing msg xuhui going learn nd may lesson,62,13
ham,"Oops, I'll let you know when my roommate's done",47.0,9.0,oops let know roommate done,27,5
ham,I see the letter B on my car,28.0,8.0,see letter car,14,3
ham,Anything lor... U decide...,27.0,4.0,anything lor decide,19,3
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,155.0,30.0,hello saturday go texting see decided anything tomo trying invite anything,74,11
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,82.0,17.0,pls go ahead watt wanted sure great weekend abiola,50,9
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",142.0,34.0,forget tell want need crave love sweet arabian steed mmmmmm yummy,65,11
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,172.0,33.0,rodger burn msg tried call reply sm free nokia mobile free camcorder please call delivery tomorrow,98,16
ham,WHO ARE YOU SEEING?,19.0,4.0,seeing,6,1
ham,Great! I hope you like your man well endowed. I am  &lt,55.0,12.0,great hope like man well endowed lt,35,7
ham,No calls..messages..missed calls,32.0,3.0,call message missed call,24,4
ham,Didn't you get hep b immunisation in nigeria.,45.0,8.0,get hep immunisation nigeria,28,4
ham,"Fair enough, anything going on?",31.0,5.0,fair enough anything going,26,4
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",67.0,14.0,yeah hopefully tyler could maybe ask around bit,47,8
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,148.0,30.0,know stubborn even want go hospital kept telling mark weak sucker hospital weak sucker,86,14
ham,What you thinked about me. First time you saw me in class.,58.0,12.0,thinked first time saw class,28,5
ham,A gram usually runs like  &lt,29.0,6.0,gram usually run like lt,24,5
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,120.0,22.0,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end reply end sptv,97,18
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt,68.0,13.0,know mallika sherawat yesterday find lt,39,6
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",161.0,27.0,congrats year special cinema pas call suprman matrix starwars etc free bx ip pm dont miss,89,16
ham,"Sorry, I'll call later in meeting.",34.0,6.0,sorry call later meeting,24,4
ham,Tell where you reached,22.0,4.0,tell reached,12,2
ham,Yes..gauti and sehwag out of odi series.,40.0,7.0,yes gauti sehwag odi series,27,5
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,108.0,23.0,gon na pick burger way home even move pain killing,50,10
ham,Ha ha ha good joke. Girls are situation seekers.,48.0,9.0,ha ha ha good joke girl situation seeker,40,8
ham,Its a part of checking IQ,25.0,6.0,part checking iq,16,3
ham,"Sorry my roommates took forever, it ok if I come by now?",56.0,12.0,sorry roommate took forever ok come,35,6
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,110.0,24.0,ok lar double check wif da hair dresser already said wun cut short said cut look nice,85,17
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",153.0,28.0,valued customer pleased advise following recent review mob awarded bonus prize call,83,12
ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",124.0,23.0,today song dedicated day song dedicate send ur valuable frnds first rply,72,12
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",161.0,22.0,urgent ur awarded complimentary trip eurodisinc trav aco entry claim txt dis morefrmmob shracomorsglsuplt l aj,110,16
spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",80.0,15.0,hear new divorce barbie come ken stuff,38,7
ham,I plane to give on this month end.,34.0,8.0,plane give month end,20,4
